order_id,product_id,customer_id,quantity,total_price,order_date
274343,60,00ad84e9-b3c2-493d-b545-e5b07a465b3a,4,199.37,2025-04-02
424186,64,76105c73-1da6-4b1d-92f3-125561049419,3,416.53,2025-03-20
887810,30,0646344a-b8e5-4995-b443-bb0b56356e3a,4,121.95,2025-06-24
135820,40,9debaa05-5b63-48ad-aed3-30d6b335691c,4,143.38,2025-02-15
233875,11,b53caac1-c93b-4115-8d40-4f1bbd0d8f37,5,86.61,2025-05-07
713400,58,844b32f7-49d1-4d33-bb48-a42a17f6faf7,3,193.91,2025-06-08
646260,16,4fb4b147-777a-44b1-bb88-d3041ee6e08e,3,243.68,2025-03-18
402119,37,fbda810d-1432-4cb4-a97c-1535ef0890b5,1,324.7,2025-05-25
168437,6,17f36d85-dedd-4449-a556-ae82a0307147,2,470.66,2025-02-12
440396,11,d4a85bd3-2ddb-4a1d-bcd2-f95debfa1d1a,4,316.29,2025-07-15
223865,63,80b07da3-b49a-41a1-b040-0f91e9193ee4,1,31.0,2025-07-12
971413,49,88474667-29cc-4d6a-bc17-83ee1ca85601,4,74.7,2025-07-07
856242,94,3c89c1ae-c574-4c07-861a-24f89ba71156,2,405.35,2025-02-21
677569,86,66648008-0b95-40ba-9229-ec8fdd9fe615,5,126.74,2025-04-20
174623,35,6e95a3ba-6be8-4513-87ff-9a3179b93732,2,149.56,2025-02-06
901622,99,c532aed7-22ee-47f5-a2cf-36f1038290eb,5,320.4,2025-06-21
870945,40,33efa9ba-6c40-4453-a309-fbee324f41d0,1,97.79,2025-06-07
705427,50,f9435009-dd39-4ea9-9f38-562c7de05f85,2,451.38,2025-01-21
549877,10,ccbbfb0c-42ed-4a47-82c0-6b2eb7a32596,4,436.52,2025-02-15
948392,52,4390d632-00a8-40d4-9d6b-3516e5c56307,1,327.7,2025-06-18
451378,40,b7cdf7e1-ba55-4a80-99ae-8d3f5603cc04,5,303.93,2025-06-15
980546,44,bbc0c100-855d-460c-8e6b-8e627c5dd760,3,49.89,2025-04-02
530821,59,7951a7c6-193b-42f7-859a-843dabc302d0,2,287.92,2025-06-04
819405,67,f4685336-b26d-48ac-8b96-af0c11ee4a0e,5,326.54,2025-02-01
156837,37,3109623b-7dbf-4331-802f-2d3339d2483e,2,407.84,2025-05-27
182936,95,a25d127d-90bd-4007-849b-c4865bf5669e,3,107.56,2025-06-28
819895,94,19b0252c-3f1c-40a5-a34b-34c830edbb78,3,68.21,2025-03-16
172851,49,930ab740-bc09-4e7c-9bfd-e6c65f2b92b0,4,73.9,2025-02-10
148374,21,9225d6df-29f7-429f-889f-ecddd1b1d9c4,3,276.97,2025-06-21
893878,80,8fa76a45-cc01-47e1-af66-ee0d32cc5b3e,1,227.39,2025-05-29
816710,57,106185e9-f948-4fe1-be43-33495f0779dc,5,78.99,2025-01-20
247893,66,30c4e2bc-5b23-4ca5-ba9e-8148724d1dc5,4,238.91,2025-01-29
989641,15,ceb3b573-a451-4751-9edf-c5a734cb91cf,1,198.31,2025-01-25
772120,35,4ba3e093-3621-414e-8f02-5b3fc746075a,3,91.12,2025-04-26
565767,35,dc239970-7242-46ba-ac0d-bbad95bed42e,3,379.63,2025-03-29
753830,8,d5776ba5-9bd5-4368-8ac5-53b8775f0047,4,69.17,2025-06-02
760114,95,ebae6b94-603b-4c58-a347-7bd93489f662,2,338.95,2025-07-03
279903,55,211703a8-f267-4961-af32-c695188ba22b,5,425.09,2025-04-07
739405,54,28eb231c-0a67-4870-985b-c0332fef2b39,2,287.89,2025-01-24
308263,29,bc02feb8-1e90-4b4c-9460-418d254991f0,1,109.69,2025-02-17
461827,78,986a5b69-9a6f-44e7-a62c-7941fab7fd3a,5,36.55,2025-03-02
432220,91,9c64a435-adec-4b90-9429-51930d25d64d,5,213.91,2025-03-03
616166,59,919f484e-3ed3-45b6-9361-74607af4a97c,4,306.01,2025-05-25
116477,77,04de14e8-7193-4602-9208-fe1df9160a7e,1,387.5,2025-03-28
735882,79,a386425c-5cb2-46a4-b531-f1fb06b1f3de,5,42.59,2025-05-22
278272,29,627a73c3-a02f-479d-9064-e0573e4a1c9b,4,442.22,2025-02-10
456086,98,12f7a1a7-3468-4ab6-a9d0-4116d092ee41,4,242.32,2025-05-19
636057,18,b7d11635-16d8-4a3b-af75-77e6c6b74afc,4,253.61,2025-03-13
536397,67,30a8289b-61ce-417e-a937-16cf63a878ae,3,145.67,2025-06-12
331906,4,46821017-4d8b-4890-a008-27f86d6ed2c7,3,341.77,2025-04-21
980751,83,7757ac41-51db-49d7-82ab-204b191ae1b2,2,476.34,2025-07-03
146739,48,8c34f299-a555-4c0f-9a65-b5506f0279d8,5,140.47,2025-05-11
289875,94,c3428157-8047-42ee-8591-60daa6e8ba4f,4,264.67,2025-04-08
296752,52,75fa53f7-6368-4f29-ad34-fbfd968991a1,4,162.66,2025-06-09
685968,100,0100cfe3-c9d2-4785-99b5-7e53cee20ed0,2,197.79,2025-04-02
956539,87,b9838163-764f-426e-9be8-7b38e29486c0,3,312.92,2025-05-20
575079,78,42b8332a-da7d-4f31-bf3b-b7d1b2185eec,1,11.24,2025-03-09
601502,20,6290c22d-78af-402e-a2b4-2e4a1b122236,1,428.41,2025-02-25
273980,14,a0b7c8b3-46e5-4b86-8523-07dc48337a5e,5,24.44,2025-01-31
669005,97,960bc920-4fb5-4330-a93c-b3d4725f7c2a,5,250.07,2025-01-23
794741,99,e613a2c5-71d2-41b1-90ee-4711b00497a0,5,177.19,2025-01-30
382705,64,fce4e233-15c6-43ec-b801-c3dc8306ee2a,2,328.6,2025-05-07
835673,10,ccc867e4-ad06-4737-a7d0-1bdbc88a11dc,1,361.35,2025-04-02
563063,55,e7f3a0cb-a455-4339-8da8-ee4d4f80c066,5,304.22,2025-05-05
590496,60,a8e17f0b-f82b-459b-8088-5a2f574ce033,3,472.11,2025-07-10
622481,26,098f342a-2829-4ceb-a35e-07778fc74b82,4,97.6,2025-01-22
717902,15,ecfb13d6-5182-4637-957a-5e025d91d7ad,2,330.42,2025-07-11
814642,91,33b947b2-fed3-4e91-b1c9-75eba9583bdc,5,274.89,2025-02-14
582792,8,581fd8c7-5c79-4616-b833-21853f3fbc7c,5,277.77,2025-04-21
766884,69,3a42a9b4-2f79-4aaf-ac0e-b3924f690a10,5,83.17,2025-06-09
619366,80,63782b41-59c7-47d4-b398-eb41f8cc2f03,3,145.59,2025-05-26
